# Constructed from biom file
#OTU ID	D1	D3	WC	D5	SW	D4	D6	D2	taxonomy
OTU_28	0.0	3671.0	2.0	0.0	0.0	1.0	0.0	14.0	D_0__Archaea; D_1__Nanoarchaeaeota; D_2__Woesearchaeia; D_3__uncultured archaeon; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon
OTU_1761	0.0	17.0	1.0	0.0	0.0	0.0	0.0	21.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Thermodesulfovibrionia; D_3__uncultured; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_1286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	D_0__Bacteria; D_1__Omnitrophicaeota
OTU_1120	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Omnitrophicaeota
OTU_313	258.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Nitrospirae; D_2__4-29-1; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_26	80.0	24.0	4056.0	1.0	110.0	4031.0	0.0	18.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae
OTU_732	102.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	Unassigned
OTU_211	0.0	0.0	627.0	0.0	0.0	0.0	0.0	16.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Frankiales; D_4__Sporichthyaceae; D_5__hgcI clade
OTU_1048	0.0	0.0	3.0	0.0	898.0	0.0	0.0	2.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__NRL2
OTU_77	0.0	0.0	0.0	0.0	731.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Legionellales; D_4__Legionellaceae; D_5__Legionella
OTU_13	479.0	1830.0	1.0	408.0	0.0	170.0	0.0	2947.0	D_0__Bacteria; D_1__Spirochaetes; D_2__uncultured; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_968	0.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Patescibacteria; D_2__Parcubacteria; D_3__Candidatus Kaiserbacteria
OTU_1942	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__WOR-1; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_62	0.0	0.0	1.0	1504.0	426.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Verrucomicrobia; D_2__Verrucomicrobiae; D_3__Opitutales; D_4__Opitutaceae; D_5__Lacunisphaera
OTU_3394	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	Unassigned
OTU_1308	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Armatimonadetes; D_2__Armatimonadia; D_3__Armatimonadales
OTU_347	0.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Acidobacteria; D_2__Blastocatellia (Subgroup 4); D_3__Blastocatellales; D_4__Blastocatellaceae
OTU_32	1289.0	476.0	5.0	16.0	1.0	0.0	22.0	2590.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Thermodesulfovibrionia; D_3__uncultured
