#Genome	Step1	Step2	Taxonomic Group	Coverage value(average)
SW_63	C-S-04:Acetate oxidation	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.00541035294612731
SW_63	C-S-04:Acetate oxidation	S-S-05:Sulfate reduction	Gammaproteobacteria	0.00541035294612731
SW_63	C-S-04:Acetate oxidation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00541035294612731
SW_63	C-S-06:Fermentation	N-S-04:Nitrate reduction	Gammaproteobacteria	0.00541035294612731
SW_63	C-S-06:Fermentation	N-S-05:Nitrite reduction	Gammaproteobacteria	0.00541035294612731
SW_63	C-S-06:Fermentation	N-S-06:Nitric oxide reduction	Gammaproteobacteria	0.00541035294612731
SW_63	C-S-06:Fermentation	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.00541035294612731
SW_63	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.00541035294612731
SW_63	C-S-06:Fermentation	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.00541035294612731
SW_63	C-S-06:Fermentation	S-S-05:Sulfate reduction	Gammaproteobacteria	0.00541035294612731
SW_63	C-S-06:Fermentation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-04:Nitrate reduction	N-S-05:Nitrite reduction	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-04:Nitrate reduction	N-S-06:Nitric oxide reduction	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-04:Nitrate reduction	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-04:Nitrate reduction	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-04:Nitrate reduction	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-04:Nitrate reduction	S-S-05:Sulfate reduction	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-04:Nitrate reduction	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-05:Nitrite reduction	N-S-06:Nitric oxide reduction	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-05:Nitrite reduction	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-05:Nitrite reduction	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-05:Nitrite reduction	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-05:Nitrite reduction	S-S-05:Sulfate reduction	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-05:Nitrite reduction	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-06:Nitric oxide reduction	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-06:Nitric oxide reduction	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-06:Nitric oxide reduction	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-06:Nitric oxide reduction	S-S-05:Sulfate reduction	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-06:Nitric oxide reduction	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-08:Nitrite ammonification	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-08:Nitrite ammonification	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-08:Nitrite ammonification	S-S-05:Sulfate reduction	Gammaproteobacteria	0.00541035294612731
SW_63	N-S-08:Nitrite ammonification	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00541035294612731
SW_63	S-S-03:Sulfur oxidation	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.00541035294612731
SW_63	S-S-03:Sulfur oxidation	S-S-05:Sulfate reduction	Gammaproteobacteria	0.00541035294612731
SW_63	S-S-03:Sulfur oxidation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00541035294612731
SW_63	S-S-04:Sulfite oxidation	S-S-05:Sulfate reduction	Gammaproteobacteria	0.00541035294612731
SW_63	S-S-04:Sulfite oxidation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00541035294612731
SW_63	S-S-05:Sulfate reduction	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00541035294612731
SW_64	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Planctomycetota	0.0107377076993711
SW_64	C-S-01:Organic carbon oxidation	N-S-06:Nitric oxide reduction	Planctomycetota	0.0107377076993711
SW_64	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Planctomycetota	0.0107377076993711
SW_64	C-S-06:Fermentation	N-S-06:Nitric oxide reduction	Planctomycetota	0.0107377076993711
SW_64	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Planctomycetota	0.0107377076993711
SW_64	N-S-06:Nitric oxide reduction	S-S-03:Sulfur oxidation	Planctomycetota	0.0107377076993711
SW_65	C-S-01:Organic carbon oxidation	C-S-04:Acetate oxidation	Alphaproteobacteria	0.0304959720715319
SW_65	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Alphaproteobacteria	0.0304959720715319
SW_65	C-S-01:Organic carbon oxidation	N-S-08:Nitrite ammonification	Alphaproteobacteria	0.0304959720715319
SW_65	C-S-01:Organic carbon oxidation	O-S-02:Arsenate reduction	Alphaproteobacteria	0.0304959720715319
SW_65	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Alphaproteobacteria	0.0304959720715319
SW_65	C-S-04:Acetate oxidation	C-S-06:Fermentation	Alphaproteobacteria	0.0304959720715319
SW_65	C-S-04:Acetate oxidation	N-S-08:Nitrite ammonification	Alphaproteobacteria	0.0304959720715319
SW_65	C-S-04:Acetate oxidation	O-S-02:Arsenate reduction	Alphaproteobacteria	0.0304959720715319
SW_65	C-S-04:Acetate oxidation	S-S-03:Sulfur oxidation	Alphaproteobacteria	0.0304959720715319
SW_65	C-S-06:Fermentation	N-S-08:Nitrite ammonification	Alphaproteobacteria	0.0304959720715319
SW_65	C-S-06:Fermentation	O-S-02:Arsenate reduction	Alphaproteobacteria	0.0304959720715319
SW_65	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Alphaproteobacteria	0.0304959720715319
SW_65	N-S-08:Nitrite ammonification	O-S-02:Arsenate reduction	Alphaproteobacteria	0.0304959720715319
SW_65	N-S-08:Nitrite ammonification	S-S-03:Sulfur oxidation	Alphaproteobacteria	0.0304959720715319
SW_65	O-S-02:Arsenate reduction	S-S-03:Sulfur oxidation	Alphaproteobacteria	0.0304959720715319
SW_66	C-S-01:Organic carbon oxidation	C-S-04:Acetate oxidation	Bacteroidota	0.00459767823234298
SW_66	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Bacteroidota	0.00459767823234298
SW_66	C-S-01:Organic carbon oxidation	N-S-06:Nitric oxide reduction	Bacteroidota	0.00459767823234298
SW_66	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Bacteroidota	0.00459767823234298
SW_66	C-S-04:Acetate oxidation	C-S-06:Fermentation	Bacteroidota	0.00459767823234298
SW_66	C-S-04:Acetate oxidation	N-S-06:Nitric oxide reduction	Bacteroidota	0.00459767823234298
SW_66	C-S-04:Acetate oxidation	S-S-03:Sulfur oxidation	Bacteroidota	0.00459767823234298
SW_66	C-S-06:Fermentation	N-S-06:Nitric oxide reduction	Bacteroidota	0.00459767823234298
SW_66	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Bacteroidota	0.00459767823234298
SW_66	N-S-06:Nitric oxide reduction	S-S-03:Sulfur oxidation	Bacteroidota	0.00459767823234298
SW_67	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Bdellovibrionota	0.00293878557360769
SW_68	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Cyanobacteriota	0.00214148710641852
SW_68	C-S-01:Organic carbon oxidation	N-S-06:Nitric oxide reduction	Cyanobacteriota	0.00214148710641852
SW_68	C-S-01:Organic carbon oxidation	O-S-02:Arsenate reduction	Cyanobacteriota	0.00214148710641852
SW_68	C-S-01:Organic carbon oxidation	S-S-09:Thiosulfate disproportionation 2	Cyanobacteriota	0.00214148710641852
SW_68	C-S-06:Fermentation	N-S-06:Nitric oxide reduction	Cyanobacteriota	0.00214148710641852
SW_68	C-S-06:Fermentation	O-S-02:Arsenate reduction	Cyanobacteriota	0.00214148710641852
SW_68	C-S-06:Fermentation	S-S-09:Thiosulfate disproportionation 2	Cyanobacteriota	0.00214148710641852
SW_68	N-S-06:Nitric oxide reduction	O-S-02:Arsenate reduction	Cyanobacteriota	0.00214148710641852
SW_68	N-S-06:Nitric oxide reduction	S-S-09:Thiosulfate disproportionation 2	Cyanobacteriota	0.00214148710641852
SW_68	O-S-02:Arsenate reduction	S-S-09:Thiosulfate disproportionation 2	Cyanobacteriota	0.00214148710641852
SW_69	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Alphaproteobacteria	0.0137104543479387
SW_70	C-S-01:Organic carbon oxidation	C-S-04:Acetate oxidation	Verrucomicrobiota	0.00239740057890643
SW_70	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Verrucomicrobiota	0.00239740057890643
SW_70	C-S-01:Organic carbon oxidation	N-S-05:Nitrite reduction	Verrucomicrobiota	0.00239740057890643
SW_70	C-S-01:Organic carbon oxidation	O-S-02:Arsenate reduction	Verrucomicrobiota	0.00239740057890643
SW_70	C-S-04:Acetate oxidation	C-S-06:Fermentation	Verrucomicrobiota	0.00239740057890643
SW_70	C-S-04:Acetate oxidation	N-S-05:Nitrite reduction	Verrucomicrobiota	0.00239740057890643
SW_70	C-S-04:Acetate oxidation	O-S-02:Arsenate reduction	Verrucomicrobiota	0.00239740057890643
SW_70	C-S-06:Fermentation	N-S-05:Nitrite reduction	Verrucomicrobiota	0.00239740057890643
SW_70	C-S-06:Fermentation	O-S-02:Arsenate reduction	Verrucomicrobiota	0.00239740057890643
SW_70	N-S-05:Nitrite reduction	O-S-02:Arsenate reduction	Verrucomicrobiota	0.00239740057890643
SW_71	C-S-01:Organic carbon oxidation	C-S-04:Acetate oxidation	Dependentiae	0.00265537085036225
SW_71	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Dependentiae	0.00265537085036225
SW_71	C-S-04:Acetate oxidation	C-S-06:Fermentation	Dependentiae	0.00265537085036225
SW_72	C-S-01:Organic carbon oxidation	C-S-04:Acetate oxidation	Gammaproteobacteria	0.0090824254455441
SW_72	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Gammaproteobacteria	0.0090824254455441
SW_72	C-S-01:Organic carbon oxidation	C-S-09:Hydrogen oxidation	Gammaproteobacteria	0.0090824254455441
SW_72	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.0090824254455441
SW_72	C-S-04:Acetate oxidation	C-S-06:Fermentation	Gammaproteobacteria	0.0090824254455441
SW_72	C-S-04:Acetate oxidation	C-S-09:Hydrogen oxidation	Gammaproteobacteria	0.0090824254455441
SW_72	C-S-04:Acetate oxidation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.0090824254455441
SW_72	C-S-06:Fermentation	C-S-09:Hydrogen oxidation	Gammaproteobacteria	0.0090824254455441
SW_72	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.0090824254455441
SW_72	C-S-09:Hydrogen oxidation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.0090824254455441
SW_73	C-S-01:Organic carbon oxidation	C-S-04:Acetate oxidation	Gammaproteobacteria	0.00310566910015187
SW_73	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Gammaproteobacteria	0.00310566910015187
SW_73	C-S-04:Acetate oxidation	C-S-06:Fermentation	Gammaproteobacteria	0.00310566910015187
SW_74	C-S-01:Organic carbon oxidation	C-S-02:Carbon fixation	Verrucomicrobiota	0.00199379124832308
SW_74	C-S-01:Organic carbon oxidation	C-S-09:Hydrogen oxidation	Verrucomicrobiota	0.00199379124832308
