	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_7500_6.txt	7500	6	105.77948	67.41521	168.58643	43.45723	35.34604	30.52149	28.97993	73.67263
alpha_rarefaction_7500_7.txt	7500	7	109.9635	66.37354	170.83486	41.37552	37.61804	30.66385	28.56954	73.69432
alpha_rarefaction_7500_8.txt	7500	8	106.6	66.97061	170.09315	42.02519	36.68032	31.0492	28.34506	71.55016
alpha_rarefaction_7500_9.txt	7500	9	105.74065	65.0823	173.49203	42.13775	36.29856	32.23311	27.84143	73.54161
alpha_rarefaction_8500_0.txt	8500	0	109.31139	67.10731	178.32699	42.2241	35.83187	30.96285	29.18432	74.70663
alpha_rarefaction_8500_1.txt	8500	1	108.29227	69.69412	177.37744	43.20624	38.23753	31.07966	29.69945	74.93769
alpha_rarefaction_8500_2.txt	8500	2	107.24762	66.61042	181.24077	42.59569	37.43783	31.57439	29.18062	72.62168
alpha_rarefaction_8500_3.txt	8500	3	110.36524	69.30959	180.43083	42.12247	37.65184	31.34451	27.88398	73.89313
alpha_rarefaction_8500_4.txt	8500	4	109.65639	68.71153	181.62158	42.75462	38.7507	31.49906	30.31326	72.77871
alpha_rarefaction_8500_5.txt	8500	5	109.32419	68.14387	181.15094	42.73672	38.31547	31.62928	29.81909	77.06721
alpha_rarefaction_8500_6.txt	8500	6	107.3818	67.78284	177.89601	42.33195	36.27327	32.22519	29.44717	74.23887
alpha_rarefaction_8500_7.txt	8500	7	107.01419	65.85898	179.72529	42.84032	38.02131	31.71142	29.33407	73.19509
alpha_rarefaction_8500_8.txt	8500	8	109.94326	68.44312	176.47758	42.43713	38.03416	31.30098	29.18819	72.04694
alpha_rarefaction_8500_9.txt	8500	9	107.09803	67.17808	180.89923	42.01474	36.981	32.46273	29.22263	75.34361
alpha_rarefaction_9500_0.txt	9500	0	111.49484	70.31665	183.59069	42.24081	38.70666	32.28331	29.88169	77.32989
alpha_rarefaction_9500_1.txt	9500	1	110.22305	69.22726	187.17021	43.47438	37.24197	33.12363	30.08284	78.09
alpha_rarefaction_9500_2.txt	9500	2	109.74505	70.86145	183.11821	43.90091	37.32311	32.29809	30.81773	77.44999
alpha_rarefaction_9500_3.txt	9500	3	112.50696	69.93202	187.41062	43.14668	37.03524	32.2449	30.94088	77.0421
alpha_rarefaction_9500_4.txt	9500	4	112.26456	68.26158	183.94343	43.16688	38.88805	30.9326	30.63857	77.29626
alpha_rarefaction_9500_5.txt	9500	5	109.85043	69.39476	188.05281	43.63309	37.42672	30.75997	30.33349	77.49123
