	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_8500_4.txt	8500	4	1139.91666667	623.918604651	3651.10565111	313.146341463	499.456521739	229.823529412	361.142857143	784.03125
alpha_rarefaction_8500_5.txt	8500	5	1166.15028902	643.530120482	3445.04176334	331.24137931	529.6	237.037037037	310.2	804.611111111
alpha_rarefaction_8500_6.txt	8500	6	1133.44736842	634.317073171	3321.35817308	315.652173913	508.6875	259.041666667	289.535714286	780.632183908
alpha_rarefaction_8500_7.txt	8500	7	1111.72413793	604.3875	3548.26315789	308.117647059	449.625	265.230769231	301.09375	745.912621359
alpha_rarefaction_8500_8.txt	8500	8	1115.21827411	673.0	3498.32518337	313.441176471	473.023255814	238.357142857	282.487179487	775.0
alpha_rarefaction_8500_9.txt	8500	9	1122.78333333	639.584415584	3412.08695652	300.0	443.636363636	236.5625	341.954545455	812.060606061
alpha_rarefaction_9500_0.txt	9500	0	1117.2849162	690.553846154	3455.52380952	304.6	488.139534884	239.1	309.7	792.279279279
alpha_rarefaction_9500_1.txt	9500	1	1162.48076923	640.1625	3681.85044643	317.888888889	457.775510204	252.121212121	302.085714286	866.157894737
alpha_rarefaction_9500_2.txt	9500	2	1119.59649123	683.411764706	3784.2759434	333.2	488.133333333	232.90625	306.115384615	784.6
alpha_rarefaction_9500_3.txt	9500	3	1190.9005848	660.868421053	3786.84352078	321.533333333	453.442307692	244.416666667	303.344827586	817.363636364
alpha_rarefaction_9500_4.txt	9500	4	1197.19653179	589.357142857	3700.16541353	332.555555556	475.326086957	233.888888889	287.454545455	772.221238938
alpha_rarefaction_9500_5.txt	9500	5	1164.0	657.0	3543.17943107	316.464285714	487.5	226.965517241	320.25	828.057142857
alpha_rarefaction_9500_6.txt	9500	6	1162.39884393	659.04	3288.11134904	296.181818182	568.527777778	237.763157895	335.129032258	811.010309278
alpha_rarefaction_9500_7.txt	9500	7	1160.11764706	633.012345679	3494.74065421	303.555555556	488.42	227.090909091	269.451612903	871.879518072
alpha_rarefaction_9500_8.txt	9500	8	1120.46835443	615.12195122	3598.77697842	308.303030303	519.0	222.230769231	268.451612903	828.153061224
alpha_rarefaction_9500_9.txt	9500	9	1196.64814815	601.076923077	3568.64123711	301.162162162	468.75	225.483870968	280.0	772.830188679
alpha_rarefaction_10500_0.txt	10500	0	1159.66489362	638.43902439	3765.01290323	320.903225806	497.068181818	227.0	276.666666667	814.132075472
alpha_rarefaction_10500_1.txt	10500	1	1208.5060241	652.833333333	3708.03872437	323.3	515.046511628	235.5	289.527777778	785.155339806
alpha_rarefaction_10500_2.txt	10500	2	1147.12698413	653.0	3639.09030837	308.833333333	529.323529412	229.676470588	260.516129032	840.01
alpha_rarefaction_10500_3.txt	10500	3	1200.12426036	596.905263158	3515.92307692	311.677419355	511.02	213.714285714	285.903225806	821.356435644
alpha_rarefaction_10500_4.txt	10500	4	1131.07954545	645.5	3844.19361702	315.303030303	529.384615385	251.0	281.75	844.010309278
alpha_rarefaction_10500_5.txt	10500	5	1137.65714286	688.039473684	3873.72766885	331.181818182	496.0	260.043478261	276.535714286	791.852173913
alpha_rarefaction_10500_6.txt	10500	6	1178.87741935	646.621621622	3722.81632653	334.625	476.352941176	228.965517241	326.903225806	770.833333333
alpha_rarefaction_10500_7.txt	10500	7	1178.72222222	649.493150685	3637.3245614	320.433333333	522.384615385	229.0	306.41025641	891.936170213
alpha_rarefaction_10500_8.txt	10500	8	1267.26666667	600.170731707	3727.99542334	309.076923077	495.0	240.433333333	322.0	885.93877551
alpha_rarefaction_10500_9.txt	10500	9	1179.00649351	674.133333333	3636.27973568	302.6	504.130434783	228.833333333	307.03125	840.681415929
alpha_rarefaction_11500_0.txt	11500	0	1208.05555556	676.117647059	3749.94223108	312.206896552	484.781818182	250.666666667	285.677419355	829.107526882
alpha_rarefaction_11500_1.txt	11500	1	1217.38650307	628.108108108	3659.98742138	328.3	524.25	238.363636364	267.666666667	841.119266055
alpha_rarefaction_11500_2.txt	11500	2	1159.9947644	640.04	3661.95975855	328.913043478	471.529411765	236.05	312.171428571	904.159090909
alpha_rarefaction_11500_3.txt	11500	3	1248.52830189	701.0	3858.88866397	311.076923077	455.220338983	243.875	317.933333333	871.571428571
alpha_rarefaction_11500_4.txt	11500	4	1181.8902439	638.512195122	3728.49072165	323.956521739	484.957446809	255.625	339.40625	820.537190083
alpha_rarefaction_11500_5.txt	11500	5	1169.3964497	640.224489796	3960.75483871	322.444444444	485.456521739	245.714285714	280.088235294	802.103773585
alpha_rarefaction_11500_6.txt	11500	6	1182.27272727	659.835294118	3727.9582505	316.085714286	459.454545455	230.37037037	310.032258065	849.622641509
alpha_rarefaction_11500_7.txt	11500	7	1152.6416185	712.130434783	3826.32716049	309.763157895	496.073170732	235.032258065	297.033333333	865.196261682
alpha_rarefaction_11500_8.txt	11500	8	1192.97546012	659.285714286	3638.23449612	325.15625	494.525	229.5	317.03030303	817.882352941
alpha_rarefaction_11500_9.txt	11500	9	1206.75	650.643835616	4130.7124183	316.333333333	489.0	240.291666667	302.193548387	809.065420561
alpha_rarefaction_12500_0.txt	12500	0	1232.34868421	667.220779221	3900.74753452	337.44	487.288461538	247.551724138	338.027027027	806.135135135
alpha_rarefaction_12500_1.txt	12500	1	1202.73076923	675.333333333	3847.66340509	340.454545455	550.108108108	231.277777778	285.272727273	912.457446809
alpha_rarefaction_12500_2.txt	12500	2	1232.80821918	718.35	3725.06237425	321.666666667	470.084745763	258.0	301.157894737	884.141509434
alpha_rarefaction_12500_3.txt	12500	3	1189.28409091	623.361445783	3879.23217923	324.291666667	544.170731707	267.3	324.029411765	892.148514851
alpha_rarefaction_12500_4.txt	12500	4	1184.37777778	650.898876404	4006.4137931	320.375	481.23255814	271.473684211	339.25	826.054545455
alpha_rarefaction_12500_5.txt	12500	5	1196.10273973	641.032258065	3702.20423892	327.64	506.5	263.0	316.285714286	837.777777778
alpha_rarefaction_12500_6.txt	12500	6	1218.88461538	674.951219512	3679.6020202	310.652173913	483.234042553	245.8	300.675675676	807.669902913
alpha_rarefaction_12500_7.txt	12500	7	1181.04191617	640.898734177	3662.05100182	305.954545455	496.023809524	266.0	311.875	796.126213592
alpha_rarefaction_12500_8.txt	12500	8	1172.02702703	708.0	3646.61578947	319.473684211	552.263157895	251.045454545	365.896551724	834.5
alpha_rarefaction_12500_9.txt	12500	9	1182.77707006	644.397590361	3792.38867925	312.607142857	540.634146341	263.807692308	293.0	836.40952381
alpha_rarefaction_13500_0.txt	13500	0	1170.9005848	680.629213483	4132.15492958	330.75	498.068181818	285.714285714	347.176470588	862.153846154
alpha_rarefaction_13500_1.txt	13500	1	1244.88741722	650.8	3874.50090744	311.0	491.0	247.464285714	294.731707317	925.967741935
alpha_rarefaction_13500_2.txt	13500	2	1235.68666667	662.2625	3811.42857143	324.777777778	499.073170732	253.538461538	342.65625	929.060606061
alpha_rarefaction_13500_3.txt	13500	3	1190.32758621	651.03030303	3757.11619718	322.791666667	489.636363636	264.157894737	321.033333333	888.181034483
alpha_rarefaction_13500_4.txt	13500	4	1185.6557377	662.896551724	3906.05	321.529411765	537.56097561	260.357142857	311.170731707	871.833333333
alpha_rarefaction_13500_5.txt	13500	5	1189.9005848	694.514285714	3805.95306859	310.454545455	481.865384615	241.375	312.0	887.420560748
alpha_rarefaction_13500_6.txt	13500	6	1206.875	693.76744186	3809.97761194	327.037037037	556.071428571	238.5	327.09375	863.0
alpha_rarefaction_13500_7.txt	13500	7	1204.63945578	655.425287356	3941.52906977	330.2	530.022727273	278.0	293.103448276	920.0
alpha_rarefaction_13500_8.txt	13500	8	1191.90322581	716.696202532	3820.59125475	320.8	521.538461538	244.230769231	331.2	909.45
alpha_rarefaction_13500_9.txt	13500	9	1192.56410256	627.925925926	3756.03797468	312.0	489.0	237.103448276	327.538461538	803.409090909
alpha_rarefaction_14500_0.txt	14500	0	1179.72151899	650.93902439	4025.15221239	324.714285714	550.782608696	267.130434783	320.617647059	869.657657658
alpha_rarefaction_14500_1.txt	14500	1	1217.04794521	705.658227848	3982.65397924	332.157894737	530.666666667	259.375	299.6	870.189189189
alpha_rarefaction_14500_2.txt	14500	2	1232.43165468	694.898876404	3827.11913357	328.035714286	470.153846154	278.24	334.181818182	908.06122449
alpha_rarefaction_14500_3.txt	14500	3	1228.3740458	725.276315789	3888.01038062	348.272727273	496.226415094	247.903225806	333.0	991.744897959
alpha_rarefaction_14500_4.txt	14500	4	1221.78658537	695.310810811	3897.56273764	342.0	498.782608696	249.526315789	366.884615385	889.940677966
alpha_rarefaction_14500_5.txt	14500	5	1186.26923077	664.325	4020.10526316	321.375	536.130434783	252.333333333	346.896551724	845.409090909
alpha_rarefaction_14500_6.txt	14500	6	1182.80645161	675.276315789	3993.33022388	324.473684211	498.380952381	239.142857143	293.724137931	939.394736842
alpha_rarefaction_14500_7.txt	14500	7	1256.7037037	645.178571429	3973.16318786	325.4	551.441176471	246.714285714	341.451612903	922.00952381
alpha_rarefaction_14500_8.txt	14500	8	1249.0	648.4	3922.57642726	358.4	520.23255814	243.777777778	366.884615385	880.568807339
alpha_rarefaction_14500_9.txt	14500	9	1215.88535032	696.285714286	3996.12260536	317.235294118	487.2	270.05	311.527777778	938.284090909
alpha_rarefaction_15500_0.txt	15500	0	1207.06962025	668.303370787	3877.51269036	327.217391304	510.82	251.714285714	330.6	859.592592593
alpha_rarefaction_15500_1.txt	15500	1	1240.72340426	687.638888889	3979.18292683	325.217391304	503.038461538	253.272727273	363.307692308	902.735849057
alpha_rarefaction_15500_2.txt	15500	2	1211.11949686	686.511627907	4023.13356164	330.956521739	556.825	254.2	368.24	964.10989011
alpha_rarefaction_15500_3.txt	15500	3	1183.50568182	666.222222222	3788.5704698	333.956521739	520.023809524	241.0	348.848484848	871.5
alpha_rarefaction_15500_4.txt	15500	4	1212.23489933	686.571428571	4056.99097473	339.714285714	513.446808511	248.526315789	340.27027027	888.752293578
alpha_rarefaction_15500_5.txt	15500	5	1171.75	658.735632184	3868.03804348	322.6	549.818181818	251.05	333.0	897.954545455
alpha_rarefaction_15500_6.txt	15500	6	1212.56643357	667.2625	4022.10526316	333.526315789	491.833333333	256.217391304	384.724137931	918.06185567
alpha_rarefaction_15500_7.txt	15500	7	1228.32075472	675.0125	3891.31596639	326.217391304	530.42	259.291666667	346.615384615	891.826923077
alpha_rarefaction_15500_8.txt	15500	8	1186.50561798	669.733333333	3866.15736041	326.555555556	533.238095238	255.038461538	313.0	928.029126214
alpha_rarefaction_15500_9.txt	15500	9	1192.95918367	686.038961039	3853.78405316	325.0	471.568965517	252.636363636	314.035714286	947.029126214
alpha_rarefaction_16500_0.txt	16500	0	1230.89189189	685.488636364	3986.01043478	333.142857143	521.307692308	252.03030303	362.71875	882.925
