	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_12500_9.txt	12500	9	1043.0	548.0	2548.0	296.0	415.0	224.0	248.0	669.0
alpha_rarefaction_13500_0.txt	13500	0	1058.0	579.0	2658.0	303.0	415.0	225.0	272.0	684.0
alpha_rarefaction_13500_1.txt	13500	1	1078.0	554.0	2665.0	298.0	421.0	221.0	253.0	690.0
alpha_rarefaction_13500_2.txt	13500	2	1078.0	570.0	2639.0	304.0	412.0	222.0	265.0	701.0
alpha_rarefaction_13500_3.txt	13500	3	1063.0	574.0	2644.0	298.0	416.0	221.0	258.0	699.0
alpha_rarefaction_13500_4.txt	13500	4	1078.0	568.0	2620.0	303.0	424.0	225.0	262.0	706.0
alpha_rarefaction_13500_5.txt	13500	5	1077.0	571.0	2632.0	292.0	418.0	218.0	251.0	692.0
alpha_rarefaction_13500_6.txt	13500	6	1075.0	579.0	2622.0	301.0	431.0	224.0	258.0	692.0
alpha_rarefaction_13500_7.txt	13500	7	1061.0	562.0	2623.0	305.0	422.0	231.0	240.0	705.0
alpha_rarefaction_13500_8.txt	13500	8	1057.0	579.0	2625.0	296.0	432.0	220.0	248.0	690.0
alpha_rarefaction_13500_9.txt	13500	9	1065.0	547.0	2637.0	299.0	419.0	220.0	250.0	665.0
alpha_rarefaction_14500_0.txt	14500	0	1072.0	571.0	2754.0	307.0	441.0	226.0	265.0	701.0
alpha_rarefaction_14500_1.txt	14500	1	1078.0	586.0	2771.0	299.0	431.0	235.0	254.0	705.0
alpha_rarefaction_14500_2.txt	14500	2	1082.0	584.0	2696.0	308.0	421.0	235.0	261.0	705.0
alpha_rarefaction_14500_3.txt	14500	3	1081.0	586.0	2739.0	311.0	424.0	224.0	262.0	730.0
alpha_rarefaction_14500_4.txt	14500	4	1098.0	582.0	2687.0	301.0	423.0	220.0	263.0	711.0
alpha_rarefaction_14500_5.txt	14500	5	1083.0	569.0	2758.0	302.0	437.0	229.0	266.0	689.0
alpha_rarefaction_14500_6.txt	14500	6	1073.0	570.0	2724.0	300.0	439.0	217.0	248.0	730.0
alpha_rarefaction_14500_7.txt	14500	7	1108.0	563.0	2702.0	308.0	431.0	220.0	259.0	715.0
alpha_rarefaction_14500_8.txt	14500	8	1093.0	573.0	2691.0	317.0	425.0	223.0	263.0	698.0
alpha_rarefaction_14500_9.txt	14500	9	1084.0	584.0	2715.0	295.0	424.0	227.0	259.0	696.0
alpha_rarefaction_15500_0.txt	15500	0	1097.0	584.0	2802.0	307.0	436.0	225.0	273.0	702.0
alpha_rarefaction_15500_1.txt	15500	1	1101.0	580.0	2802.0	305.0	436.0	223.0	265.0	715.0
alpha_rarefaction_15500_2.txt	15500	2	1097.0	592.0	2830.0	308.0	438.0	223.0	266.0	716.0
alpha_rarefaction_15500_3.txt	15500	3	1094.0	581.0	2767.0	311.0	433.0	225.0	267.0	714.0
alpha_rarefaction_15500_4.txt	15500	4	1093.0	577.0	2812.0	308.0	432.0	219.0	275.0	717.0
alpha_rarefaction_15500_5.txt	15500	5	1075.0	586.0	2751.0	304.0	444.0	223.0	264.0	726.0
alpha_rarefaction_15500_6.txt	15500	6	1083.0	575.0	2810.0	304.0	426.0	224.0	273.0	717.0
alpha_rarefaction_15500_7.txt	15500	7	1113.0	575.0	2804.0	306.0	443.0	230.0	259.0	721.0
alpha_rarefaction_15500_8.txt	15500	8	1096.0	585.0	2783.0	299.0	440.0	228.0	256.0	727.0
alpha_rarefaction_15500_9.txt	15500	9	1087.0	587.0	2781.0	301.0	425.0	224.0	255.0	736.0
alpha_rarefaction_16500_0.txt	16500	0	1107.0	596.0	2843.0	311.0	446.0	234.0	276.0	738.0
alpha_rarefaction_16500_1.txt	16500	1	1109.0	591.0	2816.0	311.0	442.0	229.0	275.0	734.0
alpha_rarefaction_16500_2.txt	16500	2	1101.0	606.0	2859.0	309.0	439.0	226.0	258.0	737.0
alpha_rarefaction_16500_3.txt	16500	3	1110.0	593.0	2851.0	303.0	442.0	219.0	271.0	736.0
