	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_7500_2.txt	7500	2	1257.43856926	707.002944156	3485.44608414	327.76210855	549.186202409	307.567965636	377.961252024	884.488205663
alpha_rarefaction_7500_3.txt	7500	3	1164.41305895	662.712297345	3764.75412208	350.881550455	541.186175598	266.291033174	412.23982639	801.572211244
alpha_rarefaction_7500_4.txt	7500	4	1188.81064008	666.993731048	3626.32326386	346.384090773	490.621523182	335.766414164	402.851091586	805.27611493
alpha_rarefaction_7500_5.txt	7500	5	1164.09100186	649.214448763	3685.97927313	320.867528389	496.621523182	253.853006081	297.011661094	843.792023249
alpha_rarefaction_7500_6.txt	7500	6	1191.27125716	667.392241184	3494.73404123	388.436203403	502.73416833	271.298180439	370.432529451	879.654110345
alpha_rarefaction_7500_7.txt	7500	7	1204.52746001	687.878366011	3747.35834405	354.853093909	575.10911178	278.020054035	307.640536467	864.370655525
alpha_rarefaction_7500_8.txt	7500	8	1212.12162291	645.334413765	3673.39672425	331.890699139	521.83007025	235.196150151	293.262833863	848.602902276
alpha_rarefaction_7500_9.txt	7500	9	1255.19046288	622.42531824	3806.03283444	325.831718065	528.934931487	291.091619479	327.644790262	886.783487724
alpha_rarefaction_8500_0.txt	8500	0	1293.30120583	667.708352948	3718.17835374	373.433615738	453.051495803	246.173930596	395.185143868	904.57779281
alpha_rarefaction_8500_1.txt	8500	1	1225.69420783	684.005978708	3535.24902568	410.748645379	514.652758717	270.599604768	317.143054269	913.652126789
alpha_rarefaction_8500_2.txt	8500	2	1204.04279998	672.498394774	3785.29095078	341.453058459	507.220734996	264.330778455	304.525899569	829.39301248
alpha_rarefaction_8500_3.txt	8500	3	1240.81412882	643.047420874	3928.8306557	334.593905534	540.26757658	250.713061433	284.066903591	906.296345143
alpha_rarefaction_8500_4.txt	8500	4	1205.62561415	683.317731612	3913.05761483	339.941610266	570.5496402	260.881150768	475.836401641	871.853206685
alpha_rarefaction_8500_5.txt	8500	5	1237.27354664	710.385478059	3676.20135755	374.589487702	634.789596766	276.100503782	384.961252024	887.985050636
alpha_rarefaction_8500_6.txt	8500	6	1197.50320537	701.354298462	3544.97347434	357.455096082	606.195001226	312.050440106	350.876129364	870.943381698
alpha_rarefaction_8500_7.txt	8500	7	1174.72896604	665.743717238	3795.80642762	336.437497559	503.054797422	322.529732782	360.482083807	819.454256969
alpha_rarefaction_8500_8.txt	8500	8	1174.342606	752.162535615	3745.02881606	346.384090773	537.300114022	277.179233966	325.6249831	861.474647834
alpha_rarefaction_8500_9.txt	8500	9	1187.37694806	711.237306756	3639.0170365	323.376117493	499.212619063	269.507551001	441.402348598	901.622408282
alpha_rarefaction_9500_0.txt	9500	0	1173.5552882	783.075543611	3677.82635217	331.018172986	554.583235591	273.144981689	373.447897991	870.356609497
alpha_rarefaction_9500_1.txt	9500	1	1235.35292244	704.183204057	3924.61632967	352.187038247	508.304735318	290.099283956	357.167753912	969.1571119
alpha_rarefaction_9500_2.txt	9500	2	1176.95744762	754.568497719	4047.43682388	373.893974712	555.56373935	263.878689137	374.336909536	857.253362318
alpha_rarefaction_9500_3.txt	9500	3	1264.07867575	730.597485282	4054.16482453	356.650272935	501.792608151	288.56498808	363.769504149	911.705963426
