	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_2500_7.txt	2500	7	824.315053231	421.298890102	2207.87743325	235.665551311	325.390907355	209.383512747	179.388090233	492.227889567
alpha_rarefaction_2500_8.txt	2500	8	837.250460056	449.272697455	2177.52724234	250.621883666	303.53173509	150.127860382	183.561317393	567.858850084
alpha_rarefaction_2500_9.txt	2500	9	846.47771861	406.742153875	2145.75323244	234.96846802	316.868491456	168.626764679	194.196887	545.011356168
alpha_rarefaction_3500_0.txt	3500	0	1017.07821704	492.451239782	2381.81818763	267.728039025	354.222303937	191.166260469	210.442844862	534.123666582
alpha_rarefaction_3500_1.txt	3500	1	955.105568528	497.309071438	2499.63430787	246.405084953	345.253401126	164.757149814	194.894979086	574.63162065
alpha_rarefaction_3500_2.txt	3500	2	932.34886948	467.011102757	2439.72255621	273.32210079	357.233801212	183.408144887	187.894979086	597.887294258
alpha_rarefaction_3500_3.txt	3500	3	973.662316063	471.994816982	2548.87467847	282.368118776	363.807049179	203.305222785	207.115104082	522.88573008
alpha_rarefaction_3500_4.txt	3500	4	978.355110256	496.470668291	2451.67535204	258.061566976	355.548646112	186.120077657	198.361200867	630.823687584
alpha_rarefaction_3500_5.txt	3500	5	898.138677439	529.669534128	2238.62846292	273.308875428	352.428699059	165.442202995	226.519842782	609.971629554
alpha_rarefaction_3500_6.txt	3500	6	944.856104787	429.325983757	2420.06913845	279.207111069	367.892076813	166.052957211	221.72250686	554.525904467
alpha_rarefaction_3500_7.txt	3500	7	980.372062277	530.027052565	2297.76425081	265.359188996	346.475128987	201.84545258	197.634601774	655.785703783
alpha_rarefaction_3500_8.txt	3500	8	984.486451242	456.54807707	2495.48394894	291.573887582	340.33712282	170.436003254	202.117023181	566.407813838
alpha_rarefaction_3500_9.txt	3500	9	1006.45715871	475.921678677	2364.14605282	262.407487568	329.339092852	192.53946628	220.310644914	605.145824901
alpha_rarefaction_4500_0.txt	4500	0	1006.92990648	517.203679394	2558.61717778	266.259684375	374.755386711	168.132340173	211.583279344	643.575004524
alpha_rarefaction_4500_1.txt	4500	1	1028.6490002	554.189711539	2838.35394253	263.068580055	360.275048046	183.325607196	230.963393781	616.780936427
alpha_rarefaction_4500_2.txt	4500	2	973.326345118	500.32754575	2341.61170222	289.134253883	374.06138363	189.918957454	243.498143721	610.456251825
alpha_rarefaction_4500_3.txt	4500	3	1002.02785371	510.036902934	2670.70678417	262.733722239	393.332758311	185.97575139	238.778776612	646.586087373
