site,genome,domain,phylum,class,order,family,genus,species
D3,54,Bacteria,Patescibacteria,Microgenomatia,UBA1400,Collierbacteraceae,UBA10133,
D3,50,Bacteria,Patescibacteria,Microgenomatia,UBA1400,,,
D3,72,Bacteria,Patescibacteria,Microgenomatia,UBA1400,Beckwithbacteraceae,,
D3,46,Bacteria,Patescibacteria,Paceibacteria,,,,
D3,58,Bacteria,Patescibacteria,Paceibacteria,UBA6257,1-14-0-10-40-38,,
D3,67,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,,
D3,64,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,CG1-02-41-26,,
D3,78,Bacteria,Patescibacteria,ABY1,,,,
D3,82,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,
D3,94,Bacteria,Patescibacteria,ABY1,Magasanikibacterales,UBA10003,UBA10003,
D3,34,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,,
D3,36,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,UBA12403,
D3,42,Bacteria,Patescibacteria,ABY1,Uhrbacterales,UBA9934,UBA11707,
D3,69,Bacteria,Patescibacteria,ABY1,Veblenbacterales,UBA10138,,
D3,38,Bacteria,Patescibacteria,Gracilibacteria,Peregrinibacterales,LOWO2-01-FULL-3,2-01-FULL-39-12,
D3,63,Bacteria,Patescibacteria,Gracilibacteria,Peregrinibacterales,UBA1369,,
D3,60,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,,
D3,84,Bacteria,Actinobacteriota,UBA9087,UBA9087,,,
D3,18,Bacteria,Actinobacteriota,,,,,
D3,11,Bacteria,Actinobacteriota,Thermoleophilia,,,,
D3,96,Bacteria,Actinobacteriota,UBA4738,,,,
D3,65,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,,
D3,76,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,,
D3,49,Bacteria,Firmicutes_E,DTU015,UBA995,,,
D3,74,Bacteria,Firmicutes_E,DTU015,UBA8153,,,
D3,43,Bacteria,Margulisbacteria,WOR-1,O2-12-FULL-45-9,XYB2-FULL-48-7,2-01-FULL-53-15,
D3,47,Bacteria,Margulisbacteria,WOR-1,O2-12-FULL-45-9,,,
D3,56,Bacteria,Fusobacteriota,,,,,
D3,17,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,,
D3,19,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,UBA9636,
D3,48,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,
D3,44,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,
D3,15,Bacteria,Omnitrophota,koll11,UBA6215,,,
D3,88,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10,
D3,87,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10,
D3,83,Bacteria,Omnitrophota,koll11,UBA10183,,,
D3,71,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,,
D3,73,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,UBA9628,
D3,7,Bacteria,Goldbacteria-1,Goldbacteria-1,,,,
D3,22,Bacteria,Eisenbacteria,RBG-16-71-46,,,,
D3,1,Bacteria,Edwardsbacteria,AC1,AC1,EtOH8,UBA2226,
D3,99,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,,,
D3,21,Bacteria,Zixibacteria,MSB-5A5,,,,
D3,3,Bacteria,Zixibacteria,MSB-5A5,,,,
D3,85,Bacteria,Bacteroidota,UBA10030,UBA10030,,,
D3,9,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,,
D3,81,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,,
D3,6,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,,
D3,4,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,
D3,5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Lentimicrobiaceae,,
D3,2,Bacteria,AABM5-125-24,AABM5-125-24,,,,
D3,89,Bacteria,OLB16,OLB16,OLB16,OLB16,,
D3,45,Bacteria,Planctomycetota,Brocadiae,,,,
D3,52,Bacteria,Planctomycetota,Brocadiae,,,,
D3,66,Bacteria,Planctomycetota,,,,,
D3,68,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,PLanc-01,
D3,77,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,,
D3,10,Bacteria,Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,,
D3,97,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,,
D3,62,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,
D3,93,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,
D3,86,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,
D3,14,Bacteria,Desulfobacterota,Desulfobulbia,,,,
D3,16,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA5616,,
D3,32,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11,
D3,31,Bacteria,Desulfobacterota,Desulfomonilia,UBA1062,UBA1062,,
D3,95,Bacteria,UBA10199,UBA10199,2-02-FULL-44-16,,,
D3,100,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27,
D3,80,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,,
D3,26,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,UBA6902,
D3,98,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,,
