site,genome,domain,phylum,class,order,family,genus,species
D2,16,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,NA
D2,34,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,NA
D2,76,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,NA
D2,46,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Sulfuritalea,NA
D2,65,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Thiomonas,NA
D3,40,Archaea,Nanoarchaeota,Woesearchaeia,Pacearchaeales,GW2011-AR1,NA,NA
D3,20,Archaea,Nanoarchaeota,Woesearchaeia,ARS49,GCA-2687275,NA,NA
D3,37,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA10107,NA,NA
D3,27,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA11576,NA,NA
D3,35,Archaea,Nanoarchaeota,Woesearchaeia,GW2011-AR9,GW2011-AR9,um-filter-33-13,NA
D3,70,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,UBA8480,NA,NA
D3,13,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,NA,NA
D3,33,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,NA,NA
D3,23,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,NA,NA
D3,25,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,GCA-2688035,NA,NA
D3,24,Archaea,Micrarchaeota,Iainarchaeia,NA,NA,NA,NA
D3,39,Archaea,Thermoplasmatota,CG49143,CG49143,CG49143,CG49143,NA
D3,91,Archaea,Thermoplasmatota,E2,hermoplasmata-2,hermoplasmata-2,hermoplasmata-2,NA
D3,59,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,UBA6170 sp1
D3,41,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,NA
D3,29,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,RBG-16-57-11,NA
D3,51,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,NA,NA
D3,53,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,NA,NA
D3,79,Bacteria,Chloroflexota,NA,NA,NA,NA,NA
D3,61,Bacteria,Patescibacteria,Dojkabacteria,SC72,GCA-002793355,GCA-002793355,NA
D3,57,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,XYB1-FULL-47-11,NA
D3,28,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,UBA12405,UBA12158,NA
D3,54,Bacteria,Patescibacteria,Microgenomatia,UBA1400,Collierbacteraceae,UBA10133,NA
D3,50,Bacteria,Patescibacteria,Microgenomatia,UBA1400,NA,NA,NA
D3,72,Bacteria,Patescibacteria,Microgenomatia,UBA1400,Beckwithbacteraceae,NA,NA
D3,46,Bacteria,Patescibacteria,Paceibacteria,NA,NA,NA,NA
D3,58,Bacteria,Patescibacteria,Paceibacteria,UBA6257,1-14-0-10-40-38,NA,NA
D3,67,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,NA,NA
D3,64,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,CG1-02-41-26,NA,NA
D3,78,Bacteria,Patescibacteria,ABY1,NA,NA,NA,NA
D3,82,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,NA
D3,94,Bacteria,Patescibacteria,ABY1,Magasanikibacterales,UBA10003,UBA10003,NA
D3,34,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,NA,NA
D3,36,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,UBA12403,NA
D3,42,Bacteria,Patescibacteria,ABY1,Uhrbacterales,UBA9934,UBA11707,NA
D3,69,Bacteria,Patescibacteria,ABY1,Veblenbacterales,UBA10138,NA,NA
D3,38,Bacteria,Patescibacteria,Gracilibacteria,Peregrinibacterales,LOWO2-01-FULL-3,2-01-FULL-39-12,NA
D3,63,Bacteria,Patescibacteria,Gracilibacteria,Peregrinibacterales,UBA1369,NA,NA
D3,60,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,NA,NA
D3,84,Bacteria,Actinobacteriota,UBA9087,UBA9087,NA,NA,NA
D3,18,Bacteria,Actinobacteriota,NA,NA,NA,NA,NA
D3,11,Bacteria,Actinobacteriota,Thermoleophilia,NA,NA,NA,NA
D3,96,Bacteria,Actinobacteriota,UBA4738,NA,NA,NA,NA
D3,65,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,NA,NA
D3,76,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,NA,NA
D3,49,Bacteria,Firmicutes_E,DTU015,UBA995,NA,NA,NA
D3,74,Bacteria,Firmicutes_E,DTU015,UBA8153,NA,NA,NA
D3,43,Bacteria,Margulisbacteria,WOR-1,O2-12-FULL-45-9,XYB2-FULL-48-7,2-01-FULL-53-15,NA
D3,47,Bacteria,Margulisbacteria,WOR-1,O2-12-FULL-45-9,NA,NA,NA
D3,56,Bacteria,Fusobacteriota,NA,NA,NA,NA,NA
D3,17,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,NA,NA
D3,19,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,UBA9636,NA
D3,48,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,NA
D3,44,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,NA
D3,15,Bacteria,Omnitrophota,koll11,UBA6215,NA,NA,NA
D3,88,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10,NA
