site,genome,domain,phylum,class,order,family,genus,species
WC,42,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,NA
WC,34,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,AcAMD-5,NA,NA
WC,41,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Rhodoluna,NA
WC,16,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Chamaesiphonaceae,Chamaesiphon,NA
WC,1,Bacteria,Cyanobacteriota,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,NA,NA
WC,55,Bacteria,Omnitrophota,Omnitrophia,Omnitrophales,GWA2-52-8,NA,NA
WC,44,Bacteria,Omnitrophota,UBA9649,2-02-FULL-51-18,NA,NA,NA
WC,9,Bacteria,Omnitrophota,UBA9649,2-02-FULL-51-18,NA,NA,NA
WC,27,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,NA,NA
WC,54,Bacteria,Bacteroidota,Bacteroidia,AKYH767-A,2013-40CM-41-45,NA,NA
WC,5,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Solitaleaceae,NA,NA
WC,3,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UBA10320,NA
WC,45,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA
WC,60,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
WC,20,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,NA,NA
WC,8,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,SM23-39,NA,NA
WC,33,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
WC,49,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,GCA-2402195,NA
WC,35,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,OSC116,NA,NA
WC,17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter_A,NA
WC,48,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ga0077559,NA
WC,29,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,NA
WC,56,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,UBA2334,NA
WC,59,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Brachymonas,NA
WC,58,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhodoferax,NA
WC,4,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polaromonas,NA
WC,10,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polaromonas,NA
WC,6,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polynucleobacter,NA
WC,31,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polynucleobacter,NA
